epoch,train_loss,eval_loss,eval_top1,eval_top5
143,2.140698367883516,1.19642,72.53,90.834
144,2.1357227665857548,1.19717125,72.532,90.868
145,2.1330425544099025,1.194689375,72.616,90.898
146,2.130834699028131,1.19701875,72.528,90.954
147,2.1286934270638334,1.197830625,72.632,90.918
148,2.1296331897719836,1.19568125,72.604,90.88
149,2.1281244425085157,1.1978275,72.584,90.914
150,2.1257349577902485,1.200046875,72.604,90.95
151,2.127288876880436,1.20215875,72.66,90.964
152,2.126960665927087,1.1978775,72.628,90.94
153,2.126723995952502,1.1921075,72.616,90.896
154,2.127299926429939,1.196235625,72.604,90.94
